Name;Description;KeySkills;ProfessionalRoles;City;SBERT_Disciplines;SBERT_plus_LLaMA_Recommendations
Инженер по тестированию;"ОБЯЗАННОСТИ:  Проведение испытаний изделий на соответствии документации и стандартам Проверка качества разрабатываемых и производимых изделий Испытание радиотехнических изделий  ТРЕБОВАНИЯ:  Опыт работы тестирования РЭА не менее 2-х лет Знание и применение лабораторного измерительного оборудования Знание ЭМС, электробезопасности и методов испытаний изделий Базовые знания программирования  МЫ ПРЕДЛАГАЕМ:  Широкие возможности для развития - семинары, мастер – классы, корпоративная программа наставничества, программы для развития руководителей; «Белая» заработная плата, гибкое начало рабочего дня и полное соблюдение ТК; Профессиональное обучение за счёт Компании; Изучение английского в офисе за счет Компании; ДМС; Компенсация затрат на занятия спортом; Доступ к электронной библиотеке Альпина Диджитал для сотрудников; Автомат с полезной едой в офисе; Подарки сотрудникам к праздникам; Профессиональный коллектив; Отсутствие дресс-кода; Для авто есть парковка. ";;Тестировщик;Тула;"Методы и средства измерений, испытаний и контроля; Обеспечение качества и тестирование; Тестирование ПО; Разработка компьютерных тестов; Оценка технологий; Метрология и электрорадиоизмерения; Обеспечение качества и тестирование ИТ-систем; Основы надежности изделий; Научно-исследовательский семинар ""Промышленная инженерия программного обеспечения""; Автоматизированные системы обеспечения надежности и качества электронных средств; Экспериментальные методы исследования структуры и свойств материалов; Управление развитием продукта; Разработка и анализ требований; Обеспечение качества бизнес-приложений; Управление разработкой ПО; Научно-исследовательский семинар ""Методы научных исследований в менеджменте и бизнесе""; Научно-исследовательский семинар «Современные технологии создания ТЭ с ПЭ»; Электроника; Технологии программирования; Специальные технологии; Актуальные проблемы конкурентной (деловой) разведки; Основы промышленной разработки; Инструменты и программные средства анализа данных; Электротехника; Методология комплаенс-исследований в сравнительном праве";"Методы и средства измерений, испытаний и контроля; Обеспечение качества и тестирование; Тестирование ПО; Разработка компьютерных тестов; Оценка технологий; Основы надежности изделий; Управление разработкой ПО"
Маркетолог-креативщик;Медиапоинт - международный провайдер высокотехнологичных решений в индустрии онлайн-развлечений. В настоящий момент мы в поисках Маркетолога-креативщика в направление Медиабаинга. Обязанности:  Сбор инициатив: Сбор и анализ новых инициатив и идей для улучшения медиабаинга, сотрудничество с различными отделами для выявления перспективных направлений. Внедрение новых связок и A/B тестов: Разработка и запуск новых рекламных связок, воронок, проведение A/B тестов для определения наиболее эффективных подходов. Оптимизация стратегий: Постоянный анализ и оптимизация текущих медиабаинговых стратегий с целью улучшения показателей эффективности. Контроль креативов: Координация работы с креативными командами, обеспечение соответствия креативов стратегическим целям и стандартам качества.  Требования:  Опыт работы в медиабаинге или digital marketing от 3 лет. Опыт в сфере онлайн-развлечений от 1 года. Опыт разработки и внедрения маркетинговых стратегий. Знание подходов для продвижения в influence/social networks трафике (знание других типов трафика приветствуются). Креативность и способность генерировать новые идеи.  Условия:  Удаленная работа, возможность работы из любой точки мира. Гибкий график работы (пн-пт с 9/11 до 18/20). Работа в международной компании с многолетним опытом работы в игровой сфере. Дружный и амбициозный интернациональный коллектив. Уровень заработной платы обсуждается на финальных этапах собеседования. ;;Менеджер по маркетингу, интернет-маркетолог;Москва;"Использование игровых платформ в медиа; Бренд-медиа в коммуникациях: стратегии создания и продвижения; Бренд-медиа и отраслевая коммуникация в новых медиа; Организация консалтинговой деятельности в сфере медиа; Медийная реклама и программатик-закупки; Специальное проектирование. Запуск и управление медиастартапом; Создание проектов на медиаплатформах; Корпоративные и бренд-медиа; Медиаисследования: измерения и метрики; Технологии и новые направления в исследованиях медиа; Медиа-решения новых задач бизнеса; Исследования медиавоздействия и повестки дня; Монетизация медиа и организация отдела продаж в медиа; Медиа и технологические вызовы; Медиаменеджмент; Основы медиамаркетинга; Медиа решения новых задач бизнеса; Научно-исследовательский семинар ""Введение в медиаисследование""; Исследовательские парадигмы медиавоздействия и повестки дня; Технологии современных медиа; Медиамаркетинг; Основы консалтинговой деятельности в медиа; Новые медиа и бизнес-коммуникации; Управление медиа; Маркетинг медийных проектов";"Основы медиамаркетинга; Основы консалтинговой деятельности в медиа; Медиа и технологические вызовы; Медиаменеджмент; Технологии современных медиа; Исследования медиавоздействия и повестки дня; Научно-исследовательский семинар ""Введение в медиаисследование"""
Бухгалтер по работе с первичной документацией;Обязанности:  сверка взаиморасчетов с контрагентами подбор первичной документации по запросам архивация документов выполнение поручений руководителя и главного бухгалтера  Требования:  опыт работы от года профильное образование  Условия:  5/2 с 8-00 до 17-00 ;;Бухгалтер;Зеленоград;"Бухгалтерский учет; Основы бухгалтерского учета, налогообложения и аудита; Практикум по бухгалтерскому учету; Бухгалтерский и управленческий учет; Отраслевые особенности ведения бухгалтерского учета; Бухгалтерский учёт; Интеллектуальные ресурсы: аспекты бухгалтерского учёта. Основы бухгалтерского учёта неосязаемых активов предприятия; Бухгалтерский учет и отчетность; Бухгалтерский учeт; Основы бухгалтерского учета и аудита; Актуальные проблемы административной ответственности; Современный менеджер: введение в профессию; Кадровый документооборот: от приема до увольнения; Основы аудита финансовой отчетности; Новые тренды в профессии аудитора и консультанта: взгляд профессионалов; Бухгалтерский учет и аудит в юридической практике; Учет и аудит по видам экономической деятельности; Бухгалтерский и управленческий учет, анализ финансовой отчетности; Коммуникативные стратегии в управлении: рассказ в профессиональном дискурсе; Обучение и развитие персонала на основе оценки: комплексный управленческо-юридический подход; Практический курс по работе в системе 1С; Процессуальные документы по административным делам; Бухгалтерский учет и анализ; Публичное управление; Аналитика сотрудников: прогнозы результативности и эффективная политика управления";"Бухгалтерский учет; Основы бухгалтерского учета, налогообложения и аудита; Бухгалтерский и управленческий учет; Отраслевые особенности ведения бухгалтерского учета; Бухгалтерский учёт; Основы бухгалтерского учёта. Основы бухгалтерского учета неосязаемых активов предприятия; Бухгалтерский учет и отчетность; Бухгалтерский учeт; Основы бухгалтерского учета и аудита"
Бухгалтер;"Мы - компания ProSMD, профессионально занимаемся оборудованием для поверхностного монтажа печатных плат.В настоящее время компания активно развивается и ищет к себе в команду сильных специалистов, которые готовы обучаться, расти и работать в дружной команде.Сейчас мы пользуемся услугами бухгалтерии на аутсорсинге. Нас всё устраивает в части составления отчётности - не хватает ""рук"" для наведения порядка в первичных документах и управленческой отчетности. Нам нужен штатный надёжный и внимательный бухгалтер. Какую работу нужно будет делать?  Работа с первичной документацией; Хранение и учёт документов; Взаимодействие с отделами компании: формирование реализаций, отчётов по дебиторской и кредиторской задолженности и пр. (по инструкции); Работа с банк клиентом; Договорная работа;  При поиске нового коллеги для нас важны:  Опыт работы на участке с поставщиками, материалами, ОС, подотчётными лицами в коммерческих организациях; Знание ОСНО, УСН; Знание управленческого финансового учета (ОДДС, ОПиУ, баланс), опыт работы с тендерами будет преимуществом. Уверенный пользовательский опыт в 1С (Бухгалтерия / ЗУП/ УПП), продуктов Microsoft (Excel и Word). Опыт работы с системами ЭДО; Личные качества: ответственность, аккуратность, коммуникабельность, внимание к деталям, клиентоориентированность, хорошая скорость выполняемой работы. Мы ищем думающего, коммуникабельного человека. Нам важна аккуратность в работе с цифрами.  Предлагаемые условия:  Привычный график работы: с 9:00 до 18:00 (обед с 13:00 до 14:00), суббота и воскресенье - выходные дни; Своевременная заработная плата; Удобное расположение компании в центре города, комфортный офис; Дружественный коллектив, понимающее руководство. Коллеги готовы поддержать и словом, и делом; Окончательный уровень заработной платы будет согласовываться индивидуально с кандидатом.  Если вас заинтересовала наша вакансия, просим в сопроводительном письме указать ответ на вопрос: ""Какие налоги платит организация на ОСН?""Присоединяйся к нашей команде профессионалов!";Первичная документация, Акты сверок, Работа с поставщиками, Работа с большим объемом информации, Учет ТМЦ, Бухгалтерская отчетность, 1С: Бухгалтерия, Налоговая отчетность, Расчет заработной платы, Отчетность в ФСС, Российские стандарты бухгалтерского учета;Бухгалтер;Омск;"Управление продажами; Управление инновационными проектами, программами и портфелями; Управление инновационными проектами, программами и рисками; Маркетинг и продажи; Учимся со-управлять инновационной компанией; Управление проектами; Логистика и управление цепями поставок; Проектный семинар ""Территориальное планирование""; Механизмы финансирования и реализации проектов; Управление проектами создания интеллектуальных транспортных систем; Практический курс по работе в системе 1С; Управление ИТ-проектами; Анализ требований и проектирование информационных систем; Производственный менеджмент; Учет и аудит по видам экономической деятельности";"Учет и аудит по видам экономической деятельности; Производственный менеджмент; Управление проектами; Управление ИТ-проектами; Анализ требований и проектирование информационных систем; Логистика и управление цепями поставок; Управление продажами; Маркетинг и продажи;"
Специалист по ИТ закупкам;"Обязанности:  Организация и проведение закупочных процедур (выбор поставщиков и подрядчиков) на электронных торговых площадках по направлению ""Информационные технологии"", от этапа разработки закупочной документации до выбора поставщика и заключения договоров. Анализ рынка поставщиков товаров, работ и услуг в сфере информационных технологий. Изучение и отслеживание политики ценообразования. Разработка стратегий закупок.  Требования:  Знание рынка ""Информационных технологий"": производители, дистрибьюторы, техническая часть. Опыт разработки, сборки или эксплуатации информационных систем (оборудование, программное обеспечение) приветствуется. Опыт в области закупок (223-ФЗ, 44-ФЗ) компонентов информационных технологий приветствуется. Умение работать с большими объемами информации, аналитические навыки. Знание Excel на продвинутом уровне. Наличие сильных устных и письменных коммуникативных навыков, умение вести переговоры на руководящих уровнях как внутри компании, так и с поставщиками.  Условия:  Работа в крупнейшем провайдере интернета для дома и бизнеса; Оформление по ТК РФ; Офис в шаговой доступности; ДМС со стоматологией после испытательного срока; Корпоративная мобильная связь с первого дня; Программа лояльности совместно с компаниями партнерами. ";Ведение переговоров, Заключение договоров, Анализ рынка, Закупка товаров и услуг, Закупки;Менеджер по закупкам;Екатеринбург;"Управление закупками в цепях поставок; Управление цифровыми цепями поставок; Управление продуктом и продуктовая аналитика; Анализ и постановка задачи на создание информационных систем; Технологии разработки и принятия управленческих решений; Логистика и управление цепями поставок; Аналитика цепей поставок; Управление закупками и контрактами; Управление цифровым продуктом; Логистика цифровых платформ и агрегаторов; Продюсирование и продакшн; Управление внедрением информационных систем; Стратегическое управление закупками и запасами в цепях поставок; Предпринимательство и продажи на маркетплейсах; Введение в профессию; Научно-исследовательский семинар ""Основы электронной коммерции ""; Управление ИТ-продуктом; Продюсирование и продакшен; Современные инструменты управления цепями поставок; Логистика и управление цепями поставок в ритейле; Профориентационный семинар ""Введение в управление цифровым продуктом""; Управление цепями поставок в инновационном бизнесе; Управление продажами и взаимоотношениями с клиентами; Управление цифровыми продуктами; Информационные технологии";"Управление закупками в цепях поставок; Управление цепями поставок; Управление цифровыми цепями поставок; Управление продуктом и продуктовая аналитика; Аналитика цепей поставок; Управление закупками и контрактами; Управление цифровым продуктом; Управление внедрением информационных систем; Управление ИТ-продуктом;"
Менеджер по продажам электротехнического оборудования;"Компания «Русский Свет» - российский дистрибьютор, который объединяет и координирует деятельность компаний, занимающих лидирующие места на рынке услуг по комплексным поставкам кабельно‑проводниковой продукции, щитового, низковольтного и высоковольтного оборудования, светотехники, электротехники, комплектующих для России и стран СНГ. Компания «Русский Свет» является официальным дистрибьютором более 250 ведущих российских и мировых производителей электротехники и работает на рынке с 1995 года. Компания «Русский Свет» - это более 146 филиалов и представительств в более чем 100 городах России, Белоруссии, Казахстана, Кыргызстана и 7 крупнейших логистических центров в Москве, Твери, Туле, Екатеринбурге, Самаре, Ростове‑на‑Дону и Новосибирске. С Компанией «Русский Задачи, которые необходимо решать:  Прямые продажи электротехнического оборудования (более 30 000 наименований), участие в продвижении продуктов и услуг; Выполнение плановых показателей по продажам; Работа с существующей клиентской базой и поиск новых клиентов; Ведение переговоров с клиентами на уровне первых лиц;   Работа с дебиторской задолженностью;   Взаимодействие с подразделениями компании в соответствии с установленными регламентами; Ведение и предоставление отчетности о проделанной работе.  Личные и профессиональные навыки:  Средне-специальное, высшее образование (техническое будет преимуществом); Успешный опыт продаж в b2b сегменте ( успешный опыт в продажах электротехнической продукции будет преимуществом); Активная жизненная позиция, нацеленность на результат, стремление к самореализации; Готовность учиться и желание развиваться.  Став частью нашей команды, ты получаешь:  Работу в стабильной Компании и уверенность в завтрашнем дне; Официальное трудоустройство в соответствии с ТК РФ и ""белую"" заработную плату (стабильные выплаты 2 раза в месяц); Эффективную мотивацию: оклад + процент от продаж; Дополнительные конкурсы и мотивация от мировых поставщиков электротехнических товаров; Корпоративное обучение по ассортименту, технологиям продаж, бизнес-процессам, информационным системам Компании; Развитую систему адаптации и наставничества; Возможность карьерного и профессионального роста! Район работы: г. Челябинск, ул. Курчатова, 23Б.  ОСТАВЛЯЙ СВОЙ ОТКЛИК, ЗВОНИ, ПРИХОДИ НА СОБЕСЕДОВАНИЕ И РАБОТАЙ ВМЕСТЕ С НАМИ!";B2B Продажи, Активные продажи, Развитие продаж, Ведение переговоров, Навыки работы с возражениями, Ориентация на результат;Менеджер по продажам, менеджер по работе с клиентами;Челябинск;"Россия как энергетическая сверхдержава; Семинар по работе с информацией в IT-сфере; Современный топливно-энергетический комплекс региона Ближнего Востока и перспективы сотрудничества с РФ в нефтегазовой сфере; Современный топливно-энергетический комплекс региона Ближнего Востока и перспективы сотрудничества с РФ в энергетической сфере; Проектный семинар по работе с информацией в IT-сфере; Россия на Дальнем Востоке; Политика России в Азии; Семинар по журналистике и коммуникациям в IT; Государственная власть в современной России; Практика и перспективы работы бизнеса с государством; Проектный семинар ""Традиционные и гибкие методы управления проектами""; Менеджмент в некоммерческих организациях; Россия в современных международных отношениях; Реализация высокотехнологичных проектов на базе инновационной инфраструктуры России; Проектный семинар ""Инфраструктура развития производственных систем""; Предприниматели и органы публичной власти в России: политика отношений и ее правовое регулирование; Глобальные цепочки создания стоимости и конкурентоспособность; Россия и глобальный энергетический порядок; Проектный семинар ""Управление трансформационными программами""; Российская экономика: отрасли и регионы; Назад в будущее: практика и перспективы работы бизнеса с государством; Основы государственной службы и внешнеполитические институты РФ; Россия и страны Востока; Российская экономика; Идентичность России в мировой политике: от «глобального юга» к «глобальным русским», и преодолевая политическое одиночество?";"Россия как энергетическая сверхдержава; Государственная власть в современной России; Практика и перспективы работы бизнеса с государством; Менеджмент в некоммерческих организациях; Россия в современных международных отношениях; Реализация высокотехнологичных проектов на базе инновационной инфраструктуры России; Предприниматели и органы публичной власти в России: политика отношений и ее правовое регулирование; Глобальные цепочки создания стоимости и конкурентоспособность"
Менеджер по сопровождению клиентов;MPSTATS — лидирующий сервис аналитики маркетплейсов (Wildberries, Ozon, Яндекс Маркет), который полезен как новичкам, так и продвинутым селлерам с многомиллионными оборотами. Наш сервис — это комплексная система для предпринимателя, которая позволяет эффективно управлять своим бизнесом и масштабировать его. Инструменты MPSTATS позволяют автоматизировать рутинные процессы, управлять финансами, использовать ресурсы Big Data и искусственного интеллекта. Наши клиенты: Zarina, Love Republic, Sokolov, Levrana, Loreal, Mixit, СТС, Splat, Henderson Детский мир и многие другие. А еще мы: - резиденты Сколково - IT компания, имеющая аккредитацию в Минцифрах -официально авторизованный сервис Wildberries - добавлены в реестр отечественного ПО самое главное — команда крутых ребят с горящими глазами, влюбленные в то, что мы делаем! Вам предстоит:  решать возникающие вопросы по сервису, вести коммуникацию через чаты и телефонию обучать клиентов инструментам сервиса под ключевые задачи продажа подписки к нашему сервису для действующих клиентов компании работа с существующей клиентской базой продление действующей подписки повышение среднего чека ( увеличение срока подписки, продажа более дорого тарифа) выявление потребностей и получение обратной связи от клиентов для повышения качества предоставляемых нами услуг проведение онлайн-встречи с клиентом ведение клиентов в CRM  Ожидаем от вас:  опыт работы на таких позициях, как аккаунт- менеджер, менеджер проекта, менеджер по работе с клиентами от 1 года опыт постановки и контроля исполнения задач высокий уровень коммуникабельности (умение держать разговор с клиентом) опыт работы в продажах и маркетплейсах Wildberries, Ozon (желательно) аналитический склад ума, готовность работать в режиме многозадачности  От нас:   официальное оформление по ТК РФ   уровень дохода от 120000 тыс. руб.   график работы 5/2, 9:00 – 18:00   формат удалённой или гибридной работы   также из приятных бонусов: массажное кресло, скидки на фитнес, командные активности, оборудованное место для обеда в офисе, безлимитный кофе и печеньки :)   забота о здоровье: ДМС   полная поддержка и все условия для профессионального и личностного развития: корпоративная библиотека, коуч-сессии, тренинги, доступ к вебинарам и обучающим материалам   техника, необходимая для эффективной работы и коммуникации с коллегами: ноутбук, мышь, гарнитура   открытая корпоративная культура: поддержка инициативности, возможность создавать крутые проекты и развиваться вместе с командой   возможность участвовать в создании и развитии классного и востребованного продукта   Наши ценности: 1. Вовлеченность - нам интересны люди с горящими глазами неравнодушные к происходящему, заинтересованные в принимаемых решениях и планах, предлагающие свои идеи и решения 2. Честность/ Доверие/ Открытость - открыто обсуждаем идеи и проблемы. Выполняем свои обязательства. Искренние по отношению к другим и себе в своих словах и действиях 3. Уважение - относимся с признанием к самим себе, клиентам, коллегам, партнерам, труду и времени 4. Целостность - в нашей компании любой сотрудник может быть собой. Мы доверяем экспертизе наших людей и предоставляем свободу в выборе задач, подхода и решения 5. Работа в кайф - у нас каждый занимается любимым делом и имеет все возможности для реализации своего призвания 6. Требовательность/ Ответственность - берем ответственность за выполнение (и невыполнение) своих решений и планов. Спрашиваем с себя и друг с друга за достижение общего результата 7. Самостоятельность - мы сознательны и инициативны в своем поведении и поиске способов достижения цели. Нас не надо заставлять и уговаривать делать свою работу самым лучшим образом 8. Самосовершенствование - каждый из нас профессионал своего дела. Мы убеждены, что нам есть чему учиться, и поэтому каждый день мы ищем способы сделать нашу работу еще лучше. Ошибайся быстрее. Ошибки воспринимаются как возможность для развития 9. Амбициозность - задаем высокий уровень стандартов к себе и общим результатам. Смелые и дерзкие, мы бросаем вызов - Быть лучшей компанией на рынке! 10. Юмор - создаем веселую и необычную атмосферу 11. Человечность - относимся к людям с любовью и уважением, не причиняем зла, действуем по принципу сотрудничества и взаимопомощи. С добротой и заботой относимся к друг другу, клиентам и партнерам 12. Благодарность – мы признательны за сделанное добро, ценим и отмечаем индивидуальный вклад каждого участника нашей команды. Поощряем себя и друг друга за достижение общего результата 13. Единство и командный дух - каждый из нас нацелен на общие цели, результативен на своем месте, служит миссии компании, разделяет ценности и принципы;Активные продажи, B2B Продажи, Сопровождение клиентов, Навыки переговоров, Обучение и развитие, CRM, Аналитическое мышление, Работа в команде, Сбор и анализ информации, Управление отношениями с клиентами, Оценка потребностей клиентов, Анализ продаж, Ведение клиентской базы, Навыки презентации;Менеджер по продажам, менеджер по работе с клиентами;Санкт-Петербург;"Финансовые инструменты государственной поддержки инвестиций; Теория массового обслуживания; Научно-исследовательский семинар ''Облачные сервисы платежной системы Мир. Бизнес-технологическое проектирование сервисов""; Управление данными; Прикладные модели с использованием языка Python; Прикладные модели финансового инжиниринга с использованием библиотек языка Python; Управление информационными системами; Ивент-менеджмент; Финансовые и инвестиционные платформы; Исследования в области управления медиапроектами; Методологический научно-исследовательский семинар наставника; Методы и средства обработки больших данных; Создание проектов на медиаплатформах; Дашборды: подготовка данных для управленческих решений; Технологии бизнес-аналитики; Разработка бизнес-приложений на платформе 1С:Предприятие; Корпоративные информационные системы; Закупки и финансирование ИТ-проектов на примере крупнейших банков; Управление ИТ-проектами; Сервисы платежной системы; Управление событийным маркетингом в медиа; Анализ больших данных в страховании; Инструменты разработки; Бизнес-акселератор ВШЭ; Современные инструменты анализа и визуализации данных";"Сервисы платежной системы; Управление данными; Прикладные модели финансового инжиниринга с использованием библиотек языка Python; Управление информационными системами; Финансовые инструменты государственной поддержки инвестиций; Дашборды: подготовка данных для управленческих решений; Анализ больших данных в страховании; Финансовые и инвестиционные платформы"
Заместитель главного бухгалтера;Обязанности:• Оформление отгрузочных документов• Контроль отгрузок на маркетплейсах, ведение 45счета, формирование отгрузочных документов, проведение отчетов комиссионера• Ежемесячное выставление услуг по переработке давальческого сырья и аренды.• Начисление налогов, связанных с реализацией, в том числе — ведение книги продаж.• Контроль дебиторской и кредиторской задолженностей.• Сверка расчетов с покупателями, участие в инвентаризации расчетов.• Подготовка сводной информации по своему участку для формирования отчетности.• Подготовка документации к налоговым проверкам• Отправка документов в ЭДО• Архивирование документов, сверка реестровТребования: Обязательное знание законодательства в части ставок НДС (20%,0%).Авансовый НДС договоры комиссии, владение документооборотом, знание программы 1С ERP .Опыт работы на маркетплейсах будет преимуществом.Условия:График работы 5/2 с 08:00-17:00Заработная плата по итогам собеседованияМесто работы город Черняховск ул. Спортивная 5Компенсация ГСМЧастичная оплата за съём жилья;1С: Предприятие 8, Работа с большим объемом информации, Электронный документооборот, Документооборот, 1С: Документооборот, Бухгалтерская отчетность, 1С: Бухгалтерия, 1С: Предприятие: Бухгалтерский Учет, реализация товаров и услуг;Бухгалтер;Черняховск;"Управление закупками и контрактами; Закупочная деятельность и управление товарно-материальными запасами; Управление государственными и муниципальными закупками; Управление каналами сбыта и ценообразование; Основы бухгалтерского учета, налогообложения и аудита; Контракт и закупки в общественном секторе; Управление государственными закупкaми; Оценка и управление стоимостью финансовых организаций; Управление затратами и ценообразование в ритейле; Управление каналами сбыта и категорийный менеджмент; Управление складированием в цепях поставок; Управление затратами и бюджетирование; Управление финансовой отчетностью: инструменты и практика; Учет и аудит по видам экономической деятельности; Управленческий учет и бюджетирование; Управленческий учет; Категорийный менеджмент в управлении закупками; Логистика и управление цепями поставок; Бухгалтерский учет и отчетность; Регулирование и надзор на финансовых рынках (преподается на английском языке); Кадровый документооборот: от приема до увольнения; Управление поставками; Исследования в области операций и управления цепями поставок; Основы финансового менеджмента в бизнесе и в неприбыльных организациях; Методология управления на основе принципов клиентократии";"Основы бухгалтерского учета, налогообложения и аудита; Контракт и закупки в общественном секторе; Управление государственными закупками; Управление финансовой отчетностью: инструменты и практика; Учет и аудит по видам экономической деятельности; Управленческий учет и бюджетирование; Управленческий учет; Бухгалтерский учет и отчетность"
